ticker,manager,total_value,portfolio_pct,recent_actions,action_details,periods,change_type,concentration_score,_analysis_type,_generated,_periods,_window_quarters
MCO,Chris Hohn,6253219000,13.84,Add,Add 7.71%,Q1 2026,Increased,20.76,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
EPD,Bruce Berkowitz,206447000,13.63,Add,Add 0.10%,Q1 2026,Increased,20.445,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
V,Chris Hohn,9208689000,20.39,"Add, Reduce",Add 9.90%; Reduce 1.19%,"Q1 2026, Q4 2025",Reduced,20.39,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
APP,Pat Dorsey,126147000,10.04,Buy,Buy,Q1 2026,New High Conviction,20.08,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
WM,Bill & Melinda Gates Foundation Trust,6351934000,20.06,Reduce,Reduce 4.47%,Q1 2026,Reduced,20.06,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
EXE,Howard Marks,574970000,13.35,Add,Add 3.46%,Q1 2026,Increased,20.025,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BDX,Greenhaven Associates,859813000,9.93,Buy,Buy,Q2 2026,New High Conviction,19.86,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SPGI,Chris Hohn,5969779000,13.22,"Add, Add",Add 19.04%; Add 5.37%,"Q1 2026, Q4 2025",Increased,19.83,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RKT,Leon Cooperman,299487000,9.83,Buy,Buy,Q4 2025,New High Conviction,19.66,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
UAA,Prem Watsa,253705000,13.06,"Add, Add",Add 2.48%; Add 564.77%,"Q1 2026, Q4 2025",Increased,19.59,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Daniel Loeb,404044000,19.4,"Reduce, Reduce",Reduce 10.39%; Reduce 22.95%,"Q1 2026, Q4 2025",Reduced,19.4,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
